Name,Email,Country,Hours_Studied,Marks,Attendance_%,Assignments_Score,Final_Grade
Student_1,student1@example.com,Canada,1.07,49.64,58.73,95.19,B
Student_2,student2@example.com,UK,4.37,67.58,99.9,67.82,D
Student_3,student3@example.com,Japan,7.95,95.1,97.25,40.04,B
Student_4,student4@example.com,India,4.67,52.46,89.66,44.66,A
Student_5,student5@example.com,Japan,9.39,54.52,54.31,70.05,C
Student_6,student6@example.com,Brazil,9.2,74.55,72.26,68.47,B
Student_7,student7@example.com,UK,2.59,96.37,59.3,94.96,D
Student_8,student8@example.com,Australia,7.73,95.16,76.46,56.36,D
Student_9,student9@example.com,USA,4.19,46.26,98.91,44.76,A
Student_10,student10@example.com,Germany,9.4,96.32,91.91,99.55,D
Student_11,student11@example.com,Australia,1.69,65.02,66.24,59.93,D
Student_12,student12@example.com,Brazil,7.77,88.85,81.86,73.04,A
Student_13,student13@example.com,USA,9.77,67.35,62.32,81.62,D
Student_14,student14@example.com,Germany,3.2,61.19,73.4,70.4,C
Student_15,student15@example.com,India,4.92,88.57,66.48,45.69,C
Student_16,student16@example.com,Japan,7.57,70.84,67.63,96.32,B
Student_17,student17@example.com,Brazil,8.61,72.11,96.79,70.11,B
Student_18,student18@example.com,Germany,4.88,76.35,67.1,75.25,C
Student_19,student19@example.com,Germany,7.97,74.1,84.9,84.78,C
Student_20,student20@example.com,Germany,4.58,33.14,94.16,91.04,A
Student_21,student21@example.com,UK,9.6,76.37,53.41,62.5,C
Student_22,student22@example.com,UK,9.06,38.63,98.92,76.17,A
Student_23,student23@example.com,Australia,4.93,56.45,89.26,59.52,C
Student_24,student24@example.com,Canada,4.07,90.26,94.0,96.56,D
Student_25,student25@example.com,Australia,1.71,78.02,93.41,67.09,D
Student_26,student26@example.com,Japan,6.63,63.88,87.71,43.73,D
Student_27,student27@example.com,Australia,2.17,61.67,83.0,88.1,D
Student_28,student28@example.com,Brazil,7.69,30.52,61.9,68.29,B
Student_29,student29@example.com,UK,2.55,76.89,50.59,72.92,D
Student_30,student30@example.com,Canada,6.14,69.12,78.84,93.2,B
Student_31,student31@example.com,USA,8.1,60.6,63.22,70.46,D
Student_32,student32@example.com,Germany,2.3,36.07,74.88,93.6,C
Student_33,student33@example.com,UK,2.75,48.94,65.12,54.36,A
Student_34,student34@example.com,Germany,6.65,72.24,75.55,67.75,B
Student_35,student35@example.com,UK,9.9,35.61,93.66,61.18,A
Student_36,student36@example.com,India,5.56,35.23,63.17,46.81,B
Student_37,student37@example.com,Japan,9.77,49.65,80.39,68.09,C
Student_38,student38@example.com,Australia,5.26,94.41,69.13,72.9,C
Student_39,student39@example.com,Japan,9.59,73.96,73.25,40.27,D
Student_40,student40@example.com,UK,5.84,58.18,58.86,40.94,B
Student_41,student41@example.com,UK,2.31,63.03,67.99,81.96,D
Student_42,student42@example.com,Australia,4.56,47.17,94.36,65.91,C
Student_43,student43@example.com,India,9.0,56.34,90.44,63.82,B
Student_44,student44@example.com,Brazil,3.67,71.79,91.7,86.77,A
Student_45,student45@example.com,Australia,6.05,67.09,58.29,99.14,C
Student_46,student46@example.com,Australia,4.72,81.43,99.73,94.37,A
Student_47,student47@example.com,Germany,9.93,99.66,54.65,51.7,A
Student_48,student48@example.com,Germany,6.61,83.09,86.62,71.79,D
Student_49,student49@example.com,UK,1.0,99.46,74.11,82.68,B
Student_50,student50@example.com,India,9.91,30.91,53.78,59.57,D
Student_51,student51@example.com,Brazil,2.11,70.44,61.49,64.69,B
Student_52,student52@example.com,Germany,8.19,57.37,84.09,45.88,D
Student_53,student53@example.com,Japan,4.99,64.0,89.47,96.46,C
Student_54,student54@example.com,USA,8.71,35.97,71.01,47.47,C
Student_55,student55@example.com,India,5.87,35.65,66.29,88.02,C
Student_56,student56@example.com,Germany,1.17,66.94,77.27,44.8,A
Student_57,student57@example.com,India,8.81,87.76,64.48,44.02,D
Student_58,student58@example.com,Germany,6.84,71.02,93.26,53.82,C
Student_59,student59@example.com,Australia,7.8,46.15,74.22,84.67,B
Student_60,student60@example.com,USA,2.39,76.72,75.87,82.08,C
Student_61,student61@example.com,India,7.18,40.89,99.1,75.82,D
Student_62,student62@example.com,UK,4.01,99.07,75.21,61.68,D
Student_63,student63@example.com,USA,4.82,56.27,89.24,40.75,A
Student_64,student64@example.com,Japan,6.79,77.27,51.09,68.78,C
Student_65,student65@example.com,Germany,1.57,56.01,70.55,49.8,A
Student_66,student66@example.com,UK,7.71,54.95,86.52,50.87,D
Student_67,student67@example.com,Japan,3.6,81.49,84.81,86.61,B
Student_68,student68@example.com,UK,7.35,91.64,72.17,52.21,B
Student_69,student69@example.com,Australia,1.26,46.18,57.12,63.75,D
Student_70,student70@example.com,UK,5.2,54.77,89.23,83.67,A
Student_71,student71@example.com,Japan,6.85,75.05,62.79,96.95,C
Student_72,student72@example.com,Japan,2.03,77.94,64.7,67.37,A
Student_73,student73@example.com,Brazil,3.07,83.34,54.84,95.66,D
Student_74,student74@example.com,Germany,7.09,74.69,87.11,89.1,B
Student_75,student75@example.com,Germany,5.36,76.04,81.94,98.86,A
Student_76,student76@example.com,Canada,6.01,61.79,76.73,88.56,A
Student_77,student77@example.com,India,3.9,80.71,75.21,68.26,C
Student_78,student78@example.com,India,5.07,58.83,81.5,95.78,C
Student_79,student79@example.com,Canada,2.16,88.7,57.01,74.04,C
Student_80,student80@example.com,India,4.04,34.64,82.5,85.32,A
Student_81,student81@example.com,UK,8.28,72.71,78.34,68.97,D
Student_82,student82@example.com,Germany,7.69,95.53,73.19,59.42,B
Student_83,student83@example.com,Australia,2.32,63.25,63.34,66.81,D
Student_84,student84@example.com,Brazil,3.73,79.49,96.12,81.57,A
Student_85,student85@example.com,Japan,4.31,49.33,61.89,60.25,D
Student_86,student86@example.com,Japan,1.54,57.8,65.55,92.85,D
Student_87,student87@example.com,USA,9.51,31.64,57.73,95.42,A
Student_88,student88@example.com,Canada,8.04,86.6,91.06,98.19,A
Student_89,student89@example.com,UK,6.73,75.25,92.76,81.34,B
Student_90,student90@example.com,Brazil,2.67,44.07,99.29,77.35,C
Student_91,student91@example.com,UK,9.26,99.44,81.92,75.48,C
Student_92,student92@example.com,Australia,5.01,80.41,66.53,91.81,D
Student_93,student93@example.com,Brazil,3.11,44.07,94.19,83.05,B
Student_94,student94@example.com,Germany,2.91,44.58,65.08,67.18,C
Student_95,student95@example.com,Australia,1.22,61.28,99.97,83.1,B
Student_96,student96@example.com,Germany,7.26,48.72,50.39,80.88,B
Student_97,student97@example.com,Brazil,4.7,43.8,90.97,70.3,C
Student_98,student98@example.com,USA,1.9,37.76,77.06,67.56,A
Student_99,student99@example.com,UK,3.73,38.69,57.05,68.05,D
Student_100,student100@example.com,Brazil,4.17,46.39,97.15,87.61,A
Student_101,student101@example.com,India,7.9,30.8,58.05,73.82,D
Student_102,student102@example.com,Australia,7.46,55.7,78.9,96.57,A
Student_103,student103@example.com,Canada,6.62,45.6,63.7,59.51,B
Student_104,student104@example.com,Japan,1.95,79.53,60.52,77.57,A
Student_105,student105@example.com,India,4.12,41.35,64.91,43.49,C
Student_106,student106@example.com,Japan,4.17,95.32,59.38,54.02,C
Student_107,student107@example.com,India,6.1,57.26,54.89,61.53,C
Student_108,student108@example.com,Canada,2.05,82.0,57.93,42.52,A
Student_109,student109@example.com,USA,9.23,88.95,89.31,59.83,D
Student_110,student110@example.com,Canada,1.42,65.52,91.7,66.38,B
Student_111,student111@example.com,UK,7.42,38.45,88.08,64.34,D
Student_112,student112@example.com,UK,3.28,53.04,64.42,85.31,C
Student_113,student113@example.com,Japan,1.26,89.04,81.71,95.2,A
Student_114,student114@example.com,Brazil,6.11,88.5,69.97,98.09,B
Student_115,student115@example.com,UK,9.29,61.84,65.77,60.1,D
Student_116,student116@example.com,Canada,6.65,44.61,72.85,66.4,B
Student_117,student117@example.com,Canada,9.39,91.94,82.96,41.64,D
Student_118,student118@example.com,USA,5.83,40.19,79.33,72.39,D
Student_119,student119@example.com,Japan,3.74,64.52,96.95,96.88,C
Student_120,student120@example.com,Australia,9.56,33.96,74.41,78.85,B
Student_121,student121@example.com,Brazil,2.4,51.39,81.49,92.77,C
Student_122,student122@example.com,Germany,3.6,49.28,80.23,95.34,D
Student_123,student123@example.com,Germany,7.67,77.45,52.52,89.78,C
Student_124,student124@example.com,UK,6.0,60.79,69.99,90.93,A
Student_125,student125@example.com,Germany,6.63,85.31,88.34,70.0,B
Student_126,student126@example.com,Australia,1.75,57.92,96.16,65.42,B
Student_127,student127@example.com,Canada,3.16,84.59,88.62,78.01,D
Student_128,student128@example.com,Canada,9.53,82.05,63.0,50.12,D
Student_129,student129@example.com,UK,4.32,59.4,55.72,46.08,A
Student_130,student130@example.com,Brazil,6.43,58.44,69.2,99.57,C
Student_131,student131@example.com,Canada,1.41,30.96,91.35,92.65,D
Student_132,student132@example.com,India,7.43,73.6,68.86,42.47,B
Student_133,student133@example.com,UK,3.42,97.18,98.69,93.31,C
Student_134,student134@example.com,Germany,3.08,98.84,78.58,50.49,B
Student_135,student135@example.com,Japan,1.31,93.46,52.51,89.16,A
Student_136,student136@example.com,India,9.96,56.05,76.59,83.5,B
Student_137,student137@example.com,Canada,9.85,34.8,67.78,82.36,B
Student_138,student138@example.com,Brazil,7.62,61.5,88.25,45.08,A
Student_139,student139@example.com,UK,1.81,34.24,87.94,84.27,C
Student_140,student140@example.com,Japan,9.09,30.07,80.75,85.06,C
